,AGE,CRMS,DFE,DIST,DLOGG,DMONH,DNA,DNI,DSI,DTEFF,DTI,DVRAD,DVSINI,FE,ITER,LOGG,LRMS,LUM,MASS,MONH,NA,NAME,NI,RADIUS_ISO,RADIUS_LT,RCHISQ,RUNNUM,SDCRMS,SDFE,SDLOGG,SDLRMS,SDMONH,SDNA,SDNI,SDRCHISQ,SDSI,SDTEFF,SDTI,SDVSINI,SI,SOURCE,STAR,SVRAD,TEFF,TI,UAGE,UFE,ULOGG,ULUM,UMASS,UMONH,UNA,UNI,URADIUS_ISO,URADIUS_LT,USI,UTEFF,UTI,UVABS,UVMAG,UVRAD,UVSINI,VABS,VMAG,VRAD,VSINI,mannName
37124,14.4915132523,0.00765335513279,0.0446381978691,-99.0,-0.0739998817444,-0.00400000810623,0.0820653364062,0.055822443217,0.00585952913389,-23.0,-0.0162747297436,0.119999967515,0.0400000028312,-0.53332811594,10.0,4.41998958588,0.0117201283574,0.859003007412,0.80999314785,-0.398531198502,-0.376888364553,37124,-0.467394262552,0.910130560398,1.06934976578,13.1048154831,rj63.448,0.000144662801176,0.00528217386454,0.0,0.000106388040876,0.0217436496168,0.00841984897852,0.0064138234593,0.230448037386,0.0113533856347,10.148891449,0.0120594827458,0.220365911722,-0.219173669815,SME,37124_rj63,0.0,5372.0,-0.259942293167,0.657176017761,0.0299999993294,0.0599999986589,0.859003007412,0.0113529264927,0.0289999991655,0.0320000015199,0.0299999993294,0.0264874696732,1.06934976578,0.0189999993891,44.0,0.0460000000894,0.0969126075506,0.0500000007451,0.300000011921,0.5,5.07138872147,7.67999982834,0.382228970528,0.373614341021,
37394,1.34617567062,0.0104278875515,0.0486128032207,-99.0,-0.0739998817444,-0.00400000065565,0.0842033699155,0.0611066706479,0.000465770572191,-23.0,-0.012242116034,0.119999967515,0.039999961853,0.164901897311,2.0,4.56153202057,0.0154089285061,0.451627701521,0.919230341911,0.0963315963745,0.0683947280049,37394,0.085746191442,0.829009711742,0.790113449097,34.7947158813,rj15.1500,8.82598542375e-05,0.00450943876058,0.0,1.90722385014e-05,0.00932889990509,0.00446865241975,0.00483222864568,0.0628995746374,0.0055712829344,5.13160181046,0.00485936645418,0.0381046421826,0.0699002444744,SME,37394_rj15,0.0,5321.66650391,0.0973729416728,1.63874447346,0.0299999993294,0.0599999986589,0.451627701521,0.0160752534866,0.0289999991655,0.0320000015199,0.0299999993294,0.012268781662,0.790113449097,0.0189999993891,44.0,0.0460000000894,0.0546513833106,0.0500000007451,0.300000011921,0.5,5.77084493637,6.21000003815,0.187921702862,2.82774662971,
37605,3.13871741295,0.0155279440805,0.0442457385361,-99.0,-0.0739998817444,-0.00400000298396,0.0817121639848,0.0552684254944,0.00592149281874,-23.0,-0.0165548082441,0.119999967515,0.0400000102818,0.310713410378,5.0,4.50911664963,0.0183386951685,0.566184937954,0.973348736763,0.233801439404,0.411070972681,37605,0.346674829721,0.906982600689,0.866979777813,17.7155227661,rj23.1581,0.00147888425272,0.0285238996148,0.0,0.000401331024477,0.0603122636676,0.0455539301038,0.014635191299,0.780801773071,0.00355580192991,48.603843689,0.0472948662937,0.217354163527,0.284414619207,SME,37605_rj23,0.0,5375.66650391,0.259540706873,2.43204569817,0.0299999993294,0.0599999986589,0.566184937954,0.0203184187412,0.0289999991655,0.0320000015199,0.0299999993294,0.0316246747971,0.866979777813,0.0189999993891,44.0,0.0460000000894,0.131832078099,0.0500000007451,0.300000011921,0.5,5.50864315033,8.67000007629,0.409404158592,0.289181917906,
3765,2.75258088112,0.0130295082927,0.0638874098659,-99.0,-0.0739998817444,-0.00399999320507,0.0804757401347,0.0757505893707,-0.0453829281032,-23.0,0.0110310120508,0.119999967515,0.0400000140071,0.18462318182,4.0,4.58250665665,0.0259493086487,0.33903118968,0.860017180443,0.181392431259,0.24452984333,3765,0.187168881297,0.782446920872,0.756606340408,107.434082031,rj13.2078,0.00108791491948,0.00182443601079,0.0,0.000114467060484,0.0310910493135,0.0244969446212,0.00175757776015,0.870411336422,0.00653012096882,24.6373691559,0.0362640544772,0.285252600908,0.109962195158,SME,3765_rj13,0.0,5062.0,0.181120872498,3.04732370377,0.0299999993294,0.0599999986589,0.33903118968,0.0185430347919,0.0289999991655,0.0320000015199,0.0299999993294,0.0158887207508,0.756606340408,0.0189999993891,44.0,0.0460000000894,0.0620551332831,0.0500000007451,0.300000011921,0.5,6.17339324951,7.36000013351,0.838508307934,0.375309348106,
38230,10.9416294098,0.0115208402276,0.058268237859,-99.0,-0.0739998817444,-0.00400000018999,0.0857585668564,0.0724146589637,-0.0212508961558,-23.0,6.61623998894e-05,0.119999967515,0.0400000065565,-0.0489055030048,5.0,4.50755214691,0.0190551746637,0.470868498087,0.829507172108,0.0259005278349,0.0581807158887,38230,-0.0156430378556,0.839231848717,0.85270690918,50.7374420166,rj13.2224,0.000571294280235,0.0133550511673,0.0,9.3540038506e-05,0.0379324667156,0.016906555742,0.00933029595762,0.572323739529,0.00489683961496,20.0083312988,0.0236094351858,0.274920970201,0.0157989226282,SME,38230_rj13,0.0,5176.33349609,0.0783968865871,3.35602664948,0.0299999993294,0.0599999986589,0.470868498087,0.0213497579098,0.0289999991655,0.0320000015199,0.0299999993294,0.0247940421104,0.85270690918,0.0189999993891,44.0,0.0460000000894,0.0679553151131,0.0500000007451,0.300000011921,0.5,5.77318096161,7.34000015259,0.210935249925,0.222717449069,
38529,3.51916575432,0.0130678480491,0.0291160549968,-99.0,-0.0739998817444,-0.00400000810623,0.0715527907014,0.0352218449116,0.0171825494617,-23.0,-0.0298416409642,0.119999967515,0.039999961853,0.362818956375,4.0,3.72072482109,0.016419319436,6.48295927048,1.47212648392,0.278403908014,0.476801663637,38529,0.387972563505,2.74434685707,2.76124429703,28.2393875122,rj113.150,0.000260065746261,0.00771330902353,0.0,4.43767530669e-05,0.00674460316077,0.00469714030623,0.013587763533,0.175721302629,0.00685844989493,11.5325622559,0.00902116857469,0.00973986741155,0.315179944038,SME,38529_rj50,0.0,5541.0,0.274356305599,0.311155557632,0.0299999993294,0.0599999986589,6.48295927048,0.0408055782318,0.0289999991655,0.0320000015199,0.0299999993294,0.128689527512,2.76124429703,0.0189999993891,44.0,0.0460000000894,0.0984072238207,0.0500000007451,0.300000011921,0.5,2.81179714203,5.94999980927,0.818583786488,4.68574857712,
3861,1.50451934338,0.00898849591613,-0.0686765611172,-99.0,-0.0739998817444,-0.00400000065565,0.0839129760861,-0.0044121243991,-0.00488922744989,-23.0,-0.12793572247,0.119999967515,0.039999961853,0.0889501795173,3.0,4.33868122101,0.0130902118981,2.19684529305,1.23208844662,0.0762242972851,0.0318815559149,3861,0.0750769749284,1.23541772366,1.25707042217,15.6146287918,rj34.254,6.67015683575e-06,0.00149176584091,0.0,9.87392283491e-08,0.00130318826996,0.00108942342922,0.00205223727971,0.00327727408148,0.0017600042047,2.08166599274,0.0094957947731,0.0170788597316,0.0777243748307,SME,3861_rj34,0.0,6265.66650391,0.133950635791,0.593448400497,0.0299999993294,0.0599999986589,2.19684529305,0.0194799304008,0.0289999991655,0.0320000015199,0.0299999993294,0.0438235998154,1.25707042217,0.0189999993891,44.0,0.0460000000894,0.078177370131,0.0500000007451,0.300000011921,0.5,3.90488243103,6.51999998093,0.109520353377,2.67217183113,
38801,4.61377000809,0.0118044959381,0.0543355979025,-99.0,-0.0739998817444,-0.00399999320507,0.0860509574413,0.0682475566864,-0.0104568349198,-23.0,-0.00554995238781,0.119999967515,0.039999961853,0.285946041346,3.0,3.79806828499,0.0188778806478,4.55985450745,1.31740486622,0.212447926402,0.357941240072,38801,0.317818135023,2.350492239,2.58879065514,19.197883606,rj23.1582,0.000242262889515,0.0101131368428,0.0,7.10827225703e-05,0.0271285194904,0.0071361917071,0.011984327808,0.147950917482,0.0055141504854,11.5902261734,0.0207066107541,0.0984899401665,0.207994505763,SME,38801_rj23,0.0,5240.66650391,0.217265427113,2.04289698601,0.0299999993294,0.0599999986589,4.55985450745,0.174286425114,0.0289999991655,0.0320000015199,0.0299999993294,0.446742534637,2.58879065514,0.0189999993891,44.0,0.0460000000894,0.37889623642,0.0500000007451,0.300000011921,0.5,3.27299022675,8.26000022888,0.374619096518,1.54391205311,
38858,8.63936138153,0.00731102703139,0.0156737864017,-99.0,-0.0739998817444,-0.00399999832734,0.0629125013947,0.0192778110504,0.0197635684162,-23.0,-0.0406708270311,0.119999967515,0.0400000102818,-0.235032573342,10.0,4.43253898621,0.0106476964429,0.862074077129,0.896823823452,-0.23191422224,-0.259813994169,38858,-0.272662192583,0.957640588284,0.96319848299,13.8180532455,rj06.1054,0.00010427084635,0.0164040718228,0.0,7.96007007011e-05,0.0356984585524,0.0167412403971,0.0178541243076,0.241371333599,0.0142896296456,24.006942749,0.0187235958874,0.18125025928,-0.180488631129,SME,38858_rj06,0.0,5665.33349609,-0.204345583916,2.17348957062,0.0299999993294,0.0599999986589,0.862074077129,0.0236961245537,0.0289999991655,0.0320000015199,0.0299999993294,0.0346867740154,0.96319848299,0.0189999993891,44.0,0.0460000000894,0.0641681030393,0.0500000007451,0.300000011921,0.5,5.00936555862,5.96999979019,0.594633877277,0.43535515666,
38949,1.37271404266,0.00818788260221,-0.029505668208,-99.0,-0.0739998817444,-0.00400000065565,0.0544782541692,-0.0118731455877,0.00981965940446,-23.0,-0.0812513008714,0.119999967515,0.039999961853,-0.0591705031693,2.0,4.45956039429,0.0111833624542,1.1333001852,1.06785047054,-0.0764870718122,-0.184818759561,38949,-0.175512313843,1.00742769241,0.98079264164,11.3149843216,rj50.295,6.29474961897e-05,0.00987004954368,0.0,4.25843063567e-05,0.0207880605012,0.00473141623661,0.00923662446439,0.0770004913211,0.00538814580068,13.6503973007,0.0149217015132,0.0111374501139,-0.0802655294538,SME,38949_rj50,0.0,6011.66650391,-0.0209388658404,1.10414505005,0.0299999993294,0.0599999986589,1.1333001852,0.0217738747597,0.0289999991655,0.0320000015199,0.0299999993294,0.0252546966076,0.98079264164,0.0189999993891,44.0,0.0460000000894,0.0916082933545,0.0500000007451,0.300000011921,0.5,4.6534910202,7.80000019073,0.71647644043,7.06591653824,
39094,7.69253110886,0.0125053077936,0.0409178286791,-99.0,-0.0739998817444,-0.00399999320507,0.0797311589122,0.0508047528565,0.00978556275368,-23.0,-0.0197696778923,0.119999967515,0.0400000028312,0.225724935532,8.0,3.94571375847,0.015681957826,2.72301363945,1.13331091404,0.16792011261,0.219092667103,39094,0.239624753594,1.8593506813,1.87310469151,12.7611112595,rj23.1583,0.000235124767642,0.00720985140651,0.0,1.97688750632e-05,0.0129806362092,0.00872208550572,0.00443986710161,0.0381626151502,0.00602132407948,7.0,0.0104833878577,0.0723981931806,0.200268790126,SME,39094_rj23,0.0,5416.0,0.187746956944,1.23468899727,0.0299999993294,0.0599999986589,2.72301363945,0.0519568920135,0.0289999991655,0.0320000015199,0.0299999993294,0.137202322483,1.87310469151,0.0189999993891,44.0,0.0460000000894,0.161598786712,0.0500000007451,0.300000011921,0.5,3.78775930405,7.88999986649,0.312688976526,0.122777611017,
39142,2.31018924713,0.0106168566272,0.0544239841402,-99.0,-0.074000120163,-0.00399999320507,0.0860657691956,0.0683517679572,-0.0106564657763,-23.0,-0.0054373643361,0.119999967515,0.039999961853,0.291908830404,8.0,3.4976682663,0.0313098020852,11.7287540436,1.73219203949,0.145051792264,0.266336411238,39142,0.267196685076,3.8506975174,4.15401744843,68.0247879028,rj62.236,7.3886832979e-05,0.010086745955,0.0,0.000256921921391,0.0109889889136,0.00780081423,0.0043968539685,0.982889175415,0.0212689563632,10.4083299637,0.0386174544692,0.0178503878415,0.0138606848195,SME,39142_rj62,0.0,5239.33349609,0.395952671766,0.773217320442,0.0299999993294,0.0599999986589,11.7287540436,0.187355160713,0.0289999991655,0.0320000015199,0.0299999993294,0.759961009026,4.15401744843,0.0189999993891,44.0,0.0460000000894,0.397419571877,0.0500000007451,0.300000011921,0.5,2.24456453323,7.96999979019,0.0415502898395,3.56868577003,
39731,4.27442646027,0.0115417540073,0.025143256411,-99.0,-0.074000120163,-0.00399999553338,0.068838827312,0.0302647948265,0.0184338316321,-23.0,-0.0330607704818,0.119999967515,0.039999961853,0.35706281662,4.0,3.78251385689,0.0245087593794,8.34432315826,1.40342760086,0.143096715212,0.36564257741,39731,0.252489358187,2.55868053436,3.08976435661,39.5947113037,rj62.215,0.000291295611532,0.015480061993,0.0,0.000162787022418,0.0365380719304,0.0257446933538,0.0227166451514,0.0562974140048,0.00799067877233,18.0092563629,0.0849170610309,0.0147368209437,0.10810469836,SME,39731_rj62,0.0,5579.33349609,0.392706274986,1.87895584106,0.0299999993294,0.0599999986589,8.34432315826,0.254781544209,0.0289999991655,0.0320000015199,0.0299999993294,0.895462393761,3.08976435661,0.0189999993891,44.0,0.0460000000894,0.751809418201,0.0500000007451,0.300000011921,0.5,2.53153038025,8.26000022888,0.413680285215,3.36853528023,
39828,2.31610369682,0.0121202133596,0.0685264542699,-99.0,-0.0739998817444,-0.00400000018999,0.0609703175724,0.0697080940008,-0.0892528295517,-23.0,0.0287646520883,0.119999967515,0.039999961853,0.0669577941298,10.0,3.19238972664,0.0228265523911,16.2870845795,1.62422060966,-0.0400054231286,0.130316376686,39828,0.0620089173317,5.26919555664,5.57988166809,35.3590888977,rj63.1621,5.84384761169e-05,0.02391285263,0.0,0.000488733174279,0.043453451246,0.0418087877333,0.0114535968751,1.37395179272,0.0158163830638,26.6333122253,0.0529973655939,0.0186203457415,-0.0994814857841,SME,39828_rj63,0.0,4907.33349609,-0.0261691585183,0.861854016781,0.0299999993294,0.0599999986589,16.2870845795,0.204974353313,0.0289999991655,0.0320000015199,0.0299999993294,0.894698381424,5.57988166809,0.0189999993891,44.0,0.0460000000894,0.382475227118,0.0500000007451,0.300000011921,0.5,2.01551961899,7.69000005722,0.687634646893,3.32381820679,
39881,13.9989719391,0.00861674081534,0.0370172224939,-99.0,-0.0739998817444,-0.00399999320507,0.0770821347833,0.0455628074706,0.0129174664617,-23.0,-0.0232191737741,0.119999967515,0.039999961853,-0.265731573105,6.0,4.08040952682,0.0127505837008,1.60804879665,0.912380337715,-0.214107349515,-0.1967446208,39881,-0.24590587616,1.4326196909,1.41665744781,15.29890728,rj63.450,0.000112364978122,0.0257699899375,0.0,7.80593254603e-05,0.0292614344507,0.0185711719096,0.0177488978952,0.159754410386,0.0178862083703,18.929693222,0.0380879193544,0.082129560411,-0.0734067261219,SME,39881_rj63,0.0,5459.33349609,-0.14230196178,0.689203739166,0.0299999993294,0.0599999986589,1.60804879665,0.0153569579124,0.0289999991655,0.0320000015199,0.0299999993294,0.0539678931236,1.41665744781,0.0189999993891,44.0,0.0460000000894,0.0787121802568,0.0500000007451,0.300000011921,0.5,4.36455774307,6.59999990463,0.245971813798,1.5334148407,
40397,12.5822925568,0.0069091389887,0.0393972657621,-99.0,-0.0739998817444,-0.00400000065565,0.0787019655108,0.0487569384277,0.0110431620851,-23.0,-0.0211210343987,0.119999885559,0.0400000214577,-0.133344382048,2.0,4.39417886734,0.0141507349908,0.773939788342,0.867802977562,-0.0715469941497,-0.121923327446,40397,-0.117947854102,0.97414791584,0.992358565331,27.3254699707,rj13.2200,0.000374358263798,0.0141547536477,0.0,2.16262433241e-05,0.0419675409794,0.0181008856744,0.0130515536293,0.125112310052,0.00693016173318,24.2487106323,0.0214906353503,0.0,-0.0290989819914,SME,40397_rj13,0.0,5433.0,-0.0386538989842,1.80079460144,0.0299999993294,0.0599999986589,0.773939788342,0.0173083841801,0.0289999991655,0.0320000015199,0.0299999993294,0.0236086845398,0.992358565331,0.0189999993891,44.0,0.0460000000894,0.0685232207179,0.0500000007451,0.300000011921,0.5,5.16238594055,6.98999977112,2.57088541985,0.540000021458,
40537,6.70464754105,0.0112112266943,0.0678668692708,-99.0,-0.0739998817444,-0.00399999320507,0.0666645914316,0.0723059251904,-0.0786020755768,-23.0,0.0245994478464,0.119999967515,0.039999961853,-0.163348332047,10.0,3.38076138496,0.0163307767361,6.76069498062,1.11870968342,-0.176580905914,-0.201363399625,40537,-0.158650830388,3.54316091537,3.54713392258,17.7874202728,rj65.145,6.22053194093e-05,0.0114532513544,0.0,0.000128816071083,0.0103027112782,0.00744812376797,0.0277909860015,0.267005681992,0.012937718071,5.77350282669,0.0261585526168,0.00994827970862,-0.262934178114,SME,40537_rj65,0.0,4940.33349609,-0.126143917441,2.01423501968,0.0299999993294,0.0599999986589,6.76069498062,0.0948386192322,0.0289999991655,0.0320000015199,0.0299999993294,0.251213431358,3.54713392258,0.0189999993891,44.0,0.0460000000894,0.144350796938,0.0500000007451,0.300000011921,0.5,2.95683813095,7.30999994278,0.877488791943,3.81457066536,
